Day of Date,EW,Nouveaux Cas
"October 1, 2016","EW 39, 2016",19
"October 8, 2016","EW 40, 2016",34
"October 7, 2016","EW 40, 2016",14
"October 6, 2016","EW 40, 2016",22
"October 5, 2016","EW 40, 2016",26
"October 4, 2016","EW 40, 2016",15
"October 3, 2016","EW 40, 2016",12
"October 2, 2016","EW 40, 2016",10
"October 15, 2016","EW 41, 2016",25
"October 14, 2016","EW 41, 2016",20
"October 13, 2016","EW 41, 2016",17
"October 12, 2016","EW 41, 2016",16
"October 11, 2016","EW 41, 2016",30
"October 10, 2016","EW 41, 2016",33
"October 9, 2016","EW 41, 2016",24
"October 18, 2016","EW 42, 2016",25
"October 17, 2016","EW 42, 2016",12
"October 16, 2016","EW 42, 2016",19
