Day of Date,EW,Nouveaux Cas
"October 1, 2016","EW 39, 2016",2
"October 8, 2016","EW 40, 2016",58
"October 7, 2016","EW 40, 2016",42
"October 6, 2016","EW 40, 2016",11
"October 5, 2016","EW 40, 2016",7
"October 4, 2016","EW 40, 2016",2
"October 3, 2016","EW 40, 2016",3
"October 2, 2016","EW 40, 2016",5
"October 15, 2016","EW 41, 2016",29
"October 14, 2016","EW 41, 2016",44
"October 13, 2016","EW 41, 2016",41
"October 12, 2016","EW 41, 2016",37
"October 11, 2016","EW 41, 2016",65
"October 10, 2016","EW 41, 2016",40
"October 9, 2016","EW 41, 2016",57
"October 22, 2016","EW 42, 2016",37
"October 21, 2016","EW 42, 2016",47
"October 20, 2016","EW 42, 2016",53
"October 19, 2016","EW 42, 2016",49
"October 18, 2016","EW 42, 2016",32
"October 17, 2016","EW 42, 2016",51
"October 16, 2016","EW 42, 2016",37
"October 25, 2016","EW 43, 2016",54
"October 24, 2016","EW 43, 2016",58
"October 23, 2016","EW 43, 2016",44
