Day of Date,EW,Nouveaux Cas
"October 1, 2016","EW 39, 2016",20
"October 8, 2016","EW 40, 2016",33
"October 7, 2016","EW 40, 2016",33
"October 6, 2016","EW 40, 2016",32
"October 5, 2016","EW 40, 2016",31
"October 4, 2016","EW 40, 2016",20
"October 3, 2016","EW 40, 2016",28
"October 2, 2016","EW 40, 2016",24
"October 15, 2016","EW 41, 2016",63
"October 14, 2016","EW 41, 2016",47
"October 13, 2016","EW 41, 2016",29
"October 12, 2016","EW 41, 2016",43
"October 11, 2016","EW 41, 2016",28
"October 10, 2016","EW 41, 2016",34
"October 9, 2016","EW 41, 2016",43
"October 19, 2016","EW 42, 2016",22
"October 18, 2016","EW 42, 2016",41
"October 17, 2016","EW 42, 2016",49
"October 16, 2016","EW 42, 2016",44
