Day of Date,EW,Nouveaux Cas
"October 1, 2016","EW 39, 2016",15
"October 8, 2016","EW 40, 2016",51
"October 7, 2016","EW 40, 2016",17
"October 6, 2016","EW 40, 2016",36
"October 5, 2016","EW 40, 2016",9
"October 4, 2016","EW 40, 2016",16
"October 3, 2016","EW 40, 2016",10
"October 2, 2016","EW 40, 2016",13
"October 15, 2016","EW 41, 2016",21
"October 14, 2016","EW 41, 2016",45
"October 13, 2016","EW 41, 2016",36
"October 12, 2016","EW 41, 2016",80
"October 11, 2016","EW 41, 2016",113
"October 10, 2016","EW 41, 2016",122
"October 9, 2016","EW 41, 2016",72
"October 22, 2016","EW 42, 2016",74
"October 21, 2016","EW 42, 2016",40
"October 20, 2016","EW 42, 2016",61
"October 19, 2016","EW 42, 2016",100
"October 18, 2016","EW 42, 2016",78
"October 17, 2016","EW 42, 2016",86
"October 16, 2016","EW 42, 2016",64
"October 24, 2016","EW 43, 2016",44
"October 23, 2016","EW 43, 2016",34
