Day of Date,EW,Case
"September 3, 2016","EW 35, 2016",19
"September 2, 2016","EW 35, 2016",15
"September 1, 2016","EW 35, 2016",21
"September 10, 2016","EW 36, 2016",8
"September 9, 2016","EW 36, 2016",21
"September 8, 2016","EW 36, 2016",18
"September 7, 2016","EW 36, 2016",28
"September 6, 2016","EW 36, 2016",21
"September 5, 2016","EW 36, 2016",29
"September 4, 2016","EW 36, 2016",20
"September 17, 2016","EW 37, 2016",18
"September 16, 2016","EW 37, 2016",11
"September 15, 2016","EW 37, 2016",12
"September 14, 2016","EW 37, 2016",14
"September 13, 2016","EW 37, 2016",11
"September 12, 2016","EW 37, 2016",16
"September 11, 2016","EW 37, 2016",17
"September 24, 2016","EW 38, 2016",18
"September 23, 2016","EW 38, 2016",12
"September 22, 2016","EW 38, 2016",16
"September 21, 2016","EW 38, 2016",10
"September 20, 2016","EW 38, 2016",15
"September 19, 2016","EW 38, 2016",25
"September 18, 2016","EW 38, 2016",20
"October 1, 2016","EW 39, 2016",19
"September 30, 2016","EW 39, 2016",12
"September 29, 2016","EW 39, 2016",7
"September 28, 2016","EW 39, 2016",18
"September 27, 2016","EW 39, 2016",25
"September 25, 2016","EW 39, 2016",8
"October 8, 2016","EW 40, 2016",34
"October 7, 2016","EW 40, 2016",14
"October 6, 2016","EW 40, 2016",22
"October 5, 2016","EW 40, 2016",26
"October 4, 2016","EW 40, 2016",15
"October 3, 2016","EW 40, 2016",12
"October 2, 2016","EW 40, 2016",10
"October 15, 2016","EW 41, 2016",25
"October 14, 2016","EW 41, 2016",20
"October 13, 2016","EW 41, 2016",17
"October 12, 2016","EW 41, 2016",16
"October 11, 2016","EW 41, 2016",30
"October 10, 2016","EW 41, 2016",33
"October 9, 2016","EW 41, 2016",24
"October 22, 2016","EW 42, 2016",32
"October 21, 2016","EW 42, 2016",17
"October 20, 2016","EW 42, 2016",27
"October 19, 2016","EW 42, 2016",4
"October 18, 2016","EW 42, 2016",25
"October 17, 2016","EW 42, 2016",12
"October 16, 2016","EW 42, 2016",19
"October 27, 2016","EW 43, 2016",4
"October 26, 2016","EW 43, 2016",25
"October 25, 2016","EW 43, 2016",24
"October 24, 2016","EW 43, 2016",32
"October 23, 2016","EW 43, 2016",31
