Day of Date,EW,Case
"September 3, 2016","EW 35, 2016",1
"September 2, 2016","EW 35, 2016",2
"September 1, 2016","EW 35, 2016",2
"September 10, 2016","EW 36, 2016",1
"September 9, 2016","EW 36, 2016",0
"September 8, 2016","EW 36, 2016",1
"September 7, 2016","EW 36, 2016",0
"September 6, 2016","EW 36, 2016",0
"September 5, 2016","EW 36, 2016",0
"September 4, 2016","EW 36, 2016",0
"September 17, 2016","EW 37, 2016",1
"September 16, 2016","EW 37, 2016",0
"September 15, 2016","EW 37, 2016",2
"September 14, 2016","EW 37, 2016",1
"September 13, 2016","EW 37, 2016",0
"September 12, 2016","EW 37, 2016",1
"September 11, 2016","EW 37, 2016",0
"September 24, 2016","EW 38, 2016",0
"September 23, 2016","EW 38, 2016",0
"September 22, 2016","EW 38, 2016",1
"September 21, 2016","EW 38, 2016",1
"September 20, 2016","EW 38, 2016",0
"September 19, 2016","EW 38, 2016",3
"September 18, 2016","EW 38, 2016",2
"October 1, 2016","EW 39, 2016",0
"September 30, 2016","EW 39, 2016",0
"September 29, 2016","EW 39, 2016",0
"September 28, 2016","EW 39, 2016",0
"September 27, 2016","EW 39, 2016",0
"September 26, 2016","EW 39, 2016",1
"September 25, 2016","EW 39, 2016",1
"October 8, 2016","EW 40, 2016",0
"October 7, 2016","EW 40, 2016",3
"October 6, 2016","EW 40, 2016",1
"October 5, 2016","EW 40, 2016",0
"October 4, 2016","EW 40, 2016",0
"October 3, 2016","EW 40, 2016",0
"October 2, 2016","EW 40, 2016",0
"October 15, 2016","EW 41, 2016",1
"October 14, 2016","EW 41, 2016",1
"October 13, 2016","EW 41, 2016",0
"October 12, 2016","EW 41, 2016",0
"October 11, 2016","EW 41, 2016",0
"October 10, 2016","EW 41, 2016",0
"October 9, 2016","EW 41, 2016",2
"October 22, 2016","EW 42, 2016",0
"October 21, 2016","EW 42, 2016",0
"October 20, 2016","EW 42, 2016",0
"October 19, 2016","EW 42, 2016",0
"October 18, 2016","EW 42, 2016",1
"October 17, 2016","EW 42, 2016",0
"October 16, 2016","EW 42, 2016",3
"October 27, 2016","EW 43, 2016",0
"October 26, 2016","EW 43, 2016",3
"October 25, 2016","EW 43, 2016",5
"October 24, 2016","EW 43, 2016",2
"October 23, 2016","EW 43, 2016",2
