Day of Date,EW,Case
"September 3, 2016","EW 35, 2016",7
"September 2, 2016","EW 35, 2016",10
"September 1, 2016","EW 35, 2016",7
"September 10, 2016","EW 36, 2016",4
"September 9, 2016","EW 36, 2016",4
"September 8, 2016","EW 36, 2016",9
"September 7, 2016","EW 36, 2016",8
"September 6, 2016","EW 36, 2016",1
"September 5, 2016","EW 36, 2016",5
"September 4, 2016","EW 36, 2016",4
"September 17, 2016","EW 37, 2016",8
"September 16, 2016","EW 37, 2016",6
"September 15, 2016","EW 37, 2016",2
"September 14, 2016","EW 37, 2016",6
"September 13, 2016","EW 37, 2016",2
"September 12, 2016","EW 37, 2016",2
"September 11, 2016","EW 37, 2016",4
"September 24, 2016","EW 38, 2016",12
"September 23, 2016","EW 38, 2016",6
"September 22, 2016","EW 38, 2016",7
"September 21, 2016","EW 38, 2016",4
"September 20, 2016","EW 38, 2016",5
"September 19, 2016","EW 38, 2016",5
"September 18, 2016","EW 38, 2016",2
"October 1, 2016","EW 39, 2016",2
"September 30, 2016","EW 39, 2016",3
"September 29, 2016","EW 39, 2016",5
"September 28, 2016","EW 39, 2016",2
"September 27, 2016","EW 39, 2016",4
"September 26, 2016","EW 39, 2016",3
"September 25, 2016","EW 39, 2016",6
"October 8, 2016","EW 40, 2016",58
"October 7, 2016","EW 40, 2016",42
"October 6, 2016","EW 40, 2016",11
"October 5, 2016","EW 40, 2016",7
"October 4, 2016","EW 40, 2016",2
"October 3, 2016","EW 40, 2016",3
"October 2, 2016","EW 40, 2016",5
"October 15, 2016","EW 41, 2016",30
"October 14, 2016","EW 41, 2016",44
"October 13, 2016","EW 41, 2016",41
"October 12, 2016","EW 41, 2016",37
"October 11, 2016","EW 41, 2016",65
"October 10, 2016","EW 41, 2016",40
"October 9, 2016","EW 41, 2016",57
"October 22, 2016","EW 42, 2016",37
"October 21, 2016","EW 42, 2016",47
"October 20, 2016","EW 42, 2016",53
"October 19, 2016","EW 42, 2016",49
"October 18, 2016","EW 42, 2016",49
"October 17, 2016","EW 42, 2016",52
"October 16, 2016","EW 42, 2016",37
"October 29, 2016","EW 43, 2016",42
"October 28, 2016","EW 43, 2016",53
"October 27, 2016","EW 43, 2016",58
"October 26, 2016","EW 43, 2016",39
"October 25, 2016","EW 43, 2016",55
"October 24, 2016","EW 43, 2016",58
"October 23, 2016","EW 43, 2016",44
"November 5, 2016","EW 44, 2016",
"November 4, 2016","EW 44, 2016",32
"November 3, 2016","EW 44, 2016",50
"November 2, 2016","EW 44, 2016",40
"November 1, 2016","EW 44, 2016",36
"October 31, 2016","EW 44, 2016",41
"October 30, 2016","EW 44, 2016",45
"November 6, 2016","EW 45, 2016",
