Day of Date,EW,Case
"September 3, 2016","EW 35, 2016",27
"September 2, 2016","EW 35, 2016",21
"September 1, 2016","EW 35, 2016",20
"September 10, 2016","EW 36, 2016",18
"September 9, 2016","EW 36, 2016",36
"September 8, 2016","EW 36, 2016",21
"September 7, 2016","EW 36, 2016",24
"September 6, 2016","EW 36, 2016",36
"September 5, 2016","EW 36, 2016",36
"September 4, 2016","EW 36, 2016",34
"September 17, 2016","EW 37, 2016",29
"September 16, 2016","EW 37, 2016",35
"September 15, 2016","EW 37, 2016",21
"September 14, 2016","EW 37, 2016",24
"September 13, 2016","EW 37, 2016",40
"September 12, 2016","EW 37, 2016",29
"September 11, 2016","EW 37, 2016",29
"September 24, 2016","EW 38, 2016",24
"September 23, 2016","EW 38, 2016",28
"September 22, 2016","EW 38, 2016",31
"September 21, 2016","EW 38, 2016",26
"September 20, 2016","EW 38, 2016",22
"September 19, 2016","EW 38, 2016",21
"September 18, 2016","EW 38, 2016",39
"October 1, 2016","EW 39, 2016",25
"September 30, 2016","EW 39, 2016",9
"September 29, 2016","EW 39, 2016",16
"September 28, 2016","EW 39, 2016",15
"September 27, 2016","EW 39, 2016",26
"September 26, 2016","EW 39, 2016",22
"September 25, 2016","EW 39, 2016",24
"October 8, 2016","EW 40, 2016",35
"October 7, 2016","EW 40, 2016",35
"October 6, 2016","EW 40, 2016",35
"October 5, 2016","EW 40, 2016",34
"October 4, 2016","EW 40, 2016",20
"October 3, 2016","EW 40, 2016",30
"October 2, 2016","EW 40, 2016",26
"October 15, 2016","EW 41, 2016",66
"October 14, 2016","EW 41, 2016",49
"October 13, 2016","EW 41, 2016",31
"October 12, 2016","EW 41, 2016",45
"October 11, 2016","EW 41, 2016",33
"October 10, 2016","EW 41, 2016",38
"October 9, 2016","EW 41, 2016",45
"October 22, 2016","EW 42, 2016",44
"October 21, 2016","EW 42, 2016",50
"October 20, 2016","EW 42, 2016",43
"October 19, 2016","EW 42, 2016",33
"October 18, 2016","EW 42, 2016",50
"October 17, 2016","EW 42, 2016",51
"October 16, 2016","EW 42, 2016",49
"October 29, 2016","EW 43, 2016",28
"October 28, 2016","EW 43, 2016",20
"October 27, 2016","EW 43, 2016",42
"October 26, 2016","EW 43, 2016",38
"October 25, 2016","EW 43, 2016",39
"October 24, 2016","EW 43, 2016",43
"October 23, 2016","EW 43, 2016",44
"November 5, 2016","EW 44, 2016",25
"November 4, 2016","EW 44, 2016",26
"November 3, 2016","EW 44, 2016",25
"November 2, 2016","EW 44, 2016",39
"November 1, 2016","EW 44, 2016",33
"October 31, 2016","EW 44, 2016",32
"October 30, 2016","EW 44, 2016",16
"November 6, 2016","EW 45, 2016",24
