EW,Artibonite,Centre,GrandeAnse,Nippes,Nord,NordEst,NordOuest,Ouest,Sud,SudEst
"EW 35, 2016",55,30,24,5,30,2,6,68,4,1
"EW 36, 2016",145,104,35,2,44,0,98,205,3,2
"EW 37, 2016",99,121,30,5,56,14,14,207,4,2
"EW 38, 2016",116,118,41,7,45,3,13,191,4,10
"EW 39, 2016",89,115,25,2,48,3,14,137,45,20
"EW 40, 2016",133,97,128,4,50,6,22,215,128,9
"EW 41, 2016",165,105,314,4,61,6,37,307,484,24
"EW 42, 2016",136,105,324,4,54,6,16,320,498,20
"EW 43, 2016",173,39,349,11,80,4,18,254,263,25
"EW 44, 2016",162,7,305,8,70,28,27,209,182,11
"EW 45, 2016",17,1,38,1,29,5,5,62,90,2
