Day of Date,EW,Artibonite,Centre,GrandeAnse,Nippes,Nord,NordEst,NordOuest,Ouest,Sud,SudEst
2016-10-01,"EW 39, 2016",19.0,14.0,2,0.0,12.0,0.0,0.0,20.0,15.0,1.0
2016-10-02,"EW 40, 2016",10.0,15.0,5,0.0,6.0,0.0,1.0,24.0,13.0,0.0
2016-10-03,"EW 40, 2016",12.0,13.0,3,0.0,11.0,6.0,0.0,28.0,10.0,0.0
2016-10-04,"EW 40, 2016",15.0,7.0,2,0.0,5.0,0.0,2.0,20.0,16.0,1.0
2016-10-05,"EW 40, 2016",26.0,18.0,7,0.0,6.0,0.0,6.0,31.0,9.0,3.0
2016-10-06,"EW 40, 2016",22.0,14.0,11,1.0,8.0,0.0,5.0,32.0,36.0,1.0
2016-10-07,"EW 40, 2016",14.0,16.0,42,3.0,9.0,0.0,3.0,33.0,17.0,2.0
2016-10-08,"EW 40, 2016",34.0,14.0,58,0.0,5.0,0.0,5.0,33.0,51.0,2.0
2016-10-09,"EW 41, 2016",24.0,11.0,57,2.0,8.0,2.0,6.0,43.0,72.0,4.0
2016-10-10,"EW 41, 2016",33.0,17.0,40,0.0,13.0,0.0,7.0,34.0,122.0,1.0
2016-10-11,"EW 41, 2016",30.0,19.0,65,0.0,9.0,0.0,8.0,28.0,113.0,1.0
2016-10-12,"EW 41, 2016",16.0,15.0,37,0.0,13.0,1.0,5.0,43.0,80.0,6.0
2016-10-13,"EW 41, 2016",17.0,13.0,41,0.0,8.0,0.0,4.0,29.0,36.0,7.0
2016-10-14,"EW 41, 2016",20.0,18.0,44,1.0,7.0,0.0,3.0,47.0,45.0,3.0
2016-10-15,"EW 41, 2016",25.0,12.0,29,1.0,3.0,0.0,4.0,63.0,21.0,2.0
2016-10-16,"EW 42, 2016",19.0,13.0,37,3.0,9.0,0.0,2.0,44.0,64.0,4.0
2016-10-17,"EW 42, 2016",12.0,21.0,51,0.0,10.0,0.0,3.0,49.0,86.0,2.0
2016-10-18,"EW 42, 2016",25.0,15.0,32,1.0,1.0,0.0,2.0,41.0,78.0,2.0
2016-10-19,"EW 42, 2016",,18.0,49,0.0,6.0,0.0,5.0,22.0,100.0,3.0
2016-10-20,"EW 42, 2016",,,53,,,,,,61.0,
2016-10-21,"EW 42, 2016",,,47,,,,,,40.0,
2016-10-22,"EW 42, 2016",,,18,,,,,,74.0,
2016-10-23,"EW 43, 2016",,,22,,,,,,,
