Day of Date,EW,Nouveaux Cas
"October 1, 2016","EW 39, 2016",0
"October 8, 2016","EW 40, 2016",0
"October 7, 2016","EW 40, 2016",3
"October 6, 2016","EW 40, 2016",1
"October 5, 2016","EW 40, 2016",0
"October 4, 2016","EW 40, 2016",0
"October 3, 2016","EW 40, 2016",0
"October 2, 2016","EW 40, 2016",0
"October 15, 2016","EW 41, 2016",1
"October 14, 2016","EW 41, 2016",1
"October 13, 2016","EW 41, 2016",0
"October 12, 2016","EW 41, 2016",0
"October 11, 2016","EW 41, 2016",0
"October 10, 2016","EW 41, 2016",0
"October 9, 2016","EW 41, 2016",2
"October 19, 2016","EW 42, 2016",0
"October 18, 2016","EW 42, 2016",1
"October 17, 2016","EW 42, 2016",0
"October 16, 2016","EW 42, 2016",3
